timestamp,status,response
2025-11-08T06:07:41.702291+00:00,200,"{""cav_raw"":9396,""cav_smooth"":9380,""state"":""restorative"",""parts"":{""bio"":0.9994997382164001,""env"":1.0,""circadian"":0.7,""p_stress"":0.0005002578254789114}}"
2025-11-08T06:07:43.792939+00:00,200,"{""cav_raw"":9397,""cav_smooth"":9383,""state"":""restorative"",""parts"":{""bio"":0.9996108412742615,""env"":1.0,""circadian"":0.7,""p_stress"":0.0003891531378030777}}"
2025-11-08T06:07:45.846336+00:00,200,"{""cav_raw"":9398,""cav_smooth"":9386,""state"":""restorative"",""parts"":{""bio"":0.9997493028640747,""env"":1.0,""circadian"":0.7,""p_stress"":0.0002506811579223722}}"
2025-11-08T06:07:47.881963+00:00,200,"{""cav_raw"":9394,""cav_smooth"":9388,""state"":""restorative"",""parts"":{""bio"":0.999133825302124,""env"":1.0,""circadian"":0.7,""p_stress"":0.0008661755127832294}}"
2025-11-08T06:07:49.921558+00:00,200,"{""cav_raw"":9395,""cav_smooth"":9389,""state"":""restorative"",""parts"":{""bio"":0.9992114305496216,""env"":1.0,""circadian"":0.7,""p_stress"":0.0007885986706241965}}"
2025-11-08T06:07:51.944555+00:00,200,"{""cav_raw"":9396,""cav_smooth"":9390,""state"":""restorative"",""parts"":{""bio"":0.999364972114563,""env"":1.0,""circadian"":0.7,""p_stress"":0.0006350382464006543}}"
2025-11-08T06:07:54.005509+00:00,200,"{""cav_raw"":9395,""cav_smooth"":9391,""state"":""restorative"",""parts"":{""bio"":0.9992712736129761,""env"":1.0,""circadian"":0.7,""p_stress"":0.0007287255139090121}}"
2025-11-08T06:07:56.045988+00:00,200,"{""cav_raw"":9397,""cav_smooth"":9392,""state"":""restorative"",""parts"":{""bio"":0.999527633190155,""env"":1.0,""circadian"":0.7,""p_stress"":0.00047237068065442145}}"
2025-11-08T06:07:58.067812+00:00,200,"{""cav_raw"":9396,""cav_smooth"":9393,""state"":""restorative"",""parts"":{""bio"":0.9994065165519714,""env"":1.0,""circadian"":0.7,""p_stress"":0.0005934822256676853}}"
2025-11-08T06:08:00.097597+00:00,200,"{""cav_raw"":9397,""cav_smooth"":9394,""state"":""restorative"",""parts"":{""bio"":0.9995346665382385,""env"":1.0,""circadian"":0.7,""p_stress"":0.00046534830471500754}}"
2025-11-08T06:08:02.930213+00:00,200,"{""cav_raw"":9397,""cav_smooth"":9394,""state"":""restorative"",""parts"":{""bio"":0.9995287656784058,""env"":1.0,""circadian"":0.7,""p_stress"":0.00047121275565586984}}"
2025-11-08T06:08:04.974718+00:00,200,"{""cav_raw"":9398,""cav_smooth"":9395,""state"":""restorative"",""parts"":{""bio"":0.9997168779373169,""env"":1.0,""circadian"":0.7,""p_stress"":0.0002831104211509228}}"
2025-11-08T06:08:07.033210+00:00,200,"{""cav_raw"":9398,""cav_smooth"":9396,""state"":""restorative"",""parts"":{""bio"":0.9997656345367432,""env"":1.0,""circadian"":0.7,""p_stress"":0.00023436881019733846}}"
2025-11-08T06:08:09.081348+00:00,200,"{""cav_raw"":9398,""cav_smooth"":9396,""state"":""restorative"",""parts"":{""bio"":0.9997389316558838,""env"":1.0,""circadian"":0.7,""p_stress"":0.00026104546850547194}}"
2025-11-08T06:08:11.143933+00:00,200,"{""cav_raw"":9398,""cav_smooth"":9397,""state"":""restorative"",""parts"":{""bio"":0.9997444748878479,""env"":1.0,""circadian"":0.7,""p_stress"":0.000255514751188457}}"
2025-11-08T06:08:13.188851+00:00,200,"{""cav_raw"":9398,""cav_smooth"":9397,""state"":""restorative"",""parts"":{""bio"":0.9997761845588684,""env"":1.0,""circadian"":0.7,""p_stress"":0.00022380417794920504}}"
2025-11-08T06:08:15.222946+00:00,200,"{""cav_raw"":9397,""cav_smooth"":9397,""state"":""restorative"",""parts"":{""bio"":0.9995080232620239,""env"":1.0,""circadian"":0.7,""p_stress"":0.0004919517086818814}}"
2025-11-08T06:08:17.269888+00:00,200,"{""cav_raw"":9397,""cav_smooth"":9397,""state"":""restorative"",""parts"":{""bio"":0.9995270371437073,""env"":1.0,""circadian"":0.7,""p_stress"":0.00047296006232500076}}"
2025-11-08T06:08:19.331508+00:00,200,"{""cav_raw"":9397,""cav_smooth"":9397,""state"":""restorative"",""parts"":{""bio"":0.9996103048324585,""env"":1.0,""circadian"":0.7,""p_stress"":0.00038972412585280836}}"
2025-11-08T06:08:21.393175+00:00,200,"{""cav_raw"":9398,""cav_smooth"":9397,""state"":""restorative"",""parts"":{""bio"":0.9996957182884216,""env"":1.0,""circadian"":0.7,""p_stress"":0.00030429346952587366}}"
2025-11-08T06:08:23.449184+00:00,200,"{""cav_raw"":9398,""cav_smooth"":9397,""state"":""restorative"",""parts"":{""bio"":0.9997072219848633,""env"":1.0,""circadian"":0.7,""p_stress"":0.0002927603491116315}}"
2025-11-08T06:08:25.523270+00:00,200,"{""cav_raw"":9398,""cav_smooth"":9397,""state"":""restorative"",""parts"":{""bio"":0.9997232556343079,""env"":1.0,""circadian"":0.7,""p_stress"":0.00027676133322529495}}"
2025-11-08T06:08:27.568889+00:00,200,"{""cav_raw"":9398,""cav_smooth"":9397,""state"":""restorative"",""parts"":{""bio"":0.9997485876083374,""env"":1.0,""circadian"":0.7,""p_stress"":0.00025143384118564427}}"
2025-11-08T06:08:29.612458+00:00,200,"{""cav_raw"":9398,""cav_smooth"":9398,""state"":""restorative"",""parts"":{""bio"":0.9997591972351074,""env"":1.0,""circadian"":0.7,""p_stress"":0.00024079548893496394}}"
2025-11-08T06:08:31.684941+00:00,200,"{""cav_raw"":9398,""cav_smooth"":9398,""state"":""restorative"",""parts"":{""bio"":0.9997838139533997,""env"":1.0,""circadian"":0.7,""p_stress"":0.00021618552273139358}}"
2025-11-08T06:08:33.754848+00:00,200,"{""cav_raw"":9398,""cav_smooth"":9398,""state"":""restorative"",""parts"":{""bio"":0.9997409582138062,""env"":1.0,""circadian"":0.7,""p_stress"":0.00025903419009409845}}"
2025-11-08T06:08:35.817878+00:00,200,"{""cav_raw"":9398,""cav_smooth"":9398,""state"":""restorative"",""parts"":{""bio"":0.9997414946556091,""env"":1.0,""circadian"":0.7,""p_stress"":0.000258503423538059}}"
2025-11-08T06:08:37.875909+00:00,200,"{""cav_raw"":9398,""cav_smooth"":9398,""state"":""restorative"",""parts"":{""bio"":0.9997484683990479,""env"":1.0,""circadian"":0.7,""p_stress"":0.0002515572414267808}}"
2025-11-08T06:08:39.941796+00:00,200,"{""cav_raw"":9397,""cav_smooth"":9398,""state"":""restorative"",""parts"":{""bio"":0.9995481371879578,""env"":1.0,""circadian"":0.7,""p_stress"":0.00045185250928625464}}"
2025-11-08T06:08:42.008602+00:00,200,"{""cav_raw"":9398,""cav_smooth"":9398,""state"":""restorative"",""parts"":{""bio"":0.9997726082801819,""env"":1.0,""circadian"":0.7,""p_stress"":0.00022737887047696859}}"
